id,female,black,latin,white,employed,wage,collgrad,age,parent_college,numkids,efc
187,0,0,1,0,1,39.62,1,34,0,2,4.464582999999999
190,0,0,0,1,0,NA,0,34,1,0,0
192,1,0,1,0,0,12,0,35,1,4,0
193,1,1,0,0,1,16,0,36,0,3,1.476344
194,1,0,1,0,1,10.92,0,37,0,3,2.737425
198,1,0,0,1,1,53.29,0,37,0,1,0
199,0,0,0,1,0,26.44,1,35,1,0,30.89377
200,0,0,0,1,1,32.4,0,37,0,0,5.630069000000001
201,1,0,0,1,1,30,1,34,1,1,19.49622
202,0,0,0,1,1,40,0,35,0,2,0
203,1,0,0,1,1,67.31,1,33,0,0,0
204,1,0,0,1,1,29.81,0,36,0,2,2.9212689999999997
205,1,0,0,1,0,13.79,0,34,0,0,2.9212689999999997
206,0,0,0,1,1,31.25,1,35,0,1,0
211,1,0,1,0,1,28.49,1,37,0,3,2.1730140000000002
212,0,0,1,0,1,30.94,0,37,0,4,0
213,1,0,1,0,0,NA,0,35,0,1,0
216,1,0,1,0,1,35,1,37,0,2,7.712144
217,1,0,1,0,0,NA,0,35,0,3,0
219,0,0,0,0,1,19.44,1,35,1,0,40.18076
221,1,0,0,1,1,12,0,33,1,2,16.23771
222,0,0,1,0,1,36.67,0,36,0,0,1.609094
223,0,0,1,0,0,NA,1,36,0,0,1.609094
225,0,0,0,1,1,9.62,0,37,0,0,0
228,0,0,0,1,1,41.34,1,33,0,0,4.343303
229,1,0,0,1,1,33.38,1,33,1,0,0
231,0,0,1,0,1,12,0,37,0,0,0
232,0,0,1,0,1,40.87,1,33,0,0,0
234,1,0,1,0,1,20,0,34,0,3,0
235,1,0,0,1,1,26.15,1,36,0,0,0
236,1,0,1,0,1,22.11,0,33,0,0,0
237,0,0,0,1,1,37.55,1,34,0,0,0
239,0,0,0,1,1,21.46,0,37,1,0,26.783990000000003
241,1,0,1,0,1,49.68,1,34,1,2,6.377506
242,0,0,1,0,1,52.88,1,33,1,0,6.377506
243,1,0,0,0,1,15,0,34,0,2,0
244,0,0,1,0,1,19.84,0,34,0,0,0.3263327
245,1,0,0,1,1,23.85,1,33,0,0,0
246,0,0,1,0,1,109.21,1,37,0,0,0
247,0,0,0,1,1,26.22,1,35,0,0,0.43510469999999996
248,1,0,0,1,1,38.08,1,34,0,0,0.43510469999999996
251,0,0,1,0,1,35.72,1,35,0,0,1.89357
252,1,0,1,0,1,37.5,1,33,0,0,1.89357
254,0,0,0,1,1,16.03,1,36,1,0,0
255,1,0,0,1,1,51.92,1,34,1,0,0
258,0,0,0,1,1,17.65,1,35,0,2,0
260,0,1,0,0,1,20.68,1,37,0,0,0
262,0,1,0,0,1,11.46,0,37,0,0,0
263,0,1,0,0,0,NA,0,34,0,0,0
264,0,0,0,1,1,27.4,1,35,0,2,0
266,1,0,0,1,1,30.67,0,37,0,0,4.087074
267,1,0,0,1,1,15.5,1,37,0,1,2.619799
270,1,0,0,1,0,NA,0,33,1,3,10.19139
271,1,0,0,1,0,17.12,0,35,0,3,12.11378
272,1,0,1,0,0,9.75,0,35,0,1,4.31926
275,0,0,1,0,1,15,0,37,0,0,0
278,0,0,0,1,1,19.23,0,37,1,1,6.77927
280,0,0,0,1,1,48.56,1,34,1,2,37.255720000000004
281,0,1,0,0,1,24.17,0,33,0,0,0
282,0,0,0,1,1,15,0,37,0,0,0.2502222
283,0,0,0,1,1,18.3,0,33,0,0,0
284,1,1,0,0,0,19.11,0,36,0,3,0
285,0,0,0,1,1,28.84,0,36,0,1,0
286,1,0,0,1,1,22,1,33,0,2,0
287,0,0,0,1,1,29.6,0,37,0,1,6.625471999999999
291,1,0,0,1,0,NA,0,37,0,1,9.512597
292,1,1,0,0,1,23.99,0,33,0,1,0.5979688
295,1,0,1,0,1,19,0,33,0,0,9.526531
296,1,0,1,0,1,20.75,1,36,0,2,2.73796
298,1,0,0,1,1,21.5,0,34,1,0,4.691381000000001
299,0,0,0,1,1,25,0,36,0,0,0
300,1,0,0,1,0,NA,1,33,0,4,0
301,1,0,0,1,1,36.5,1,36,1,2,2.153023
304,0,0,0,1,1,34.61,1,34,0,0,0
305,1,0,0,1,1,21.63,1,34,1,3,0
307,1,0,0,1,1,46,1,37,0,0,0
312,1,0,0,1,0,NA,1,35,0,1,0
313,1,0,0,1,1,48.08,1,36,1,4,26.01154
315,1,0,0,1,1,13,0,35,1,1,36.5366
317,1,0,1,0,1,31.25,0,37,0,5,0
321,0,0,0,1,1,50,0,36,0,0,0
322,1,0,0,1,1,24.23,1,35,0,0,1.305378
323,0,0,0,1,1,79.81,0,37,0,0,29.79039
327,1,0,0,1,1,62.5,1,34,1,2,0
331,1,0,0,1,1,25,1,37,0,0,0
332,0,0,0,1,1,47.01,1,37,0,0,0
333,1,0,0,1,1,43.5,0,35,0,0,0
334,1,0,0,1,0,40.87,1,33,1,1,17.74756
335,1,0,0,1,1,20,1,37,0,1,2.776413
338,1,0,0,1,0,100,1,36,1,2,74.39821
339,1,0,0,1,1,63,1,36,0,0,0
340,0,0,0,1,1,50,1,36,0,0,0
341,0,0,0,1,1,28.13,1,34,0,0,0
342,0,0,0,1,1,14.64,0,35,1,0,0
343,0,0,0,1,1,16,0,33,1,0,0
344,0,0,0,1,0,16,0,33,1,0,0
345,0,0,0,1,1,93.49,0,33,1,0,0
347,0,0,1,0,0,NA,0,36,0,0,0.264425
348,0,0,1,0,1,23.59,0,34,0,3,0
349,0,0,1,0,1,12,0,33,0,0,0
354,1,0,1,0,1,24.22,0,35,0,1,0
355,1,0,1,0,1,25.91,0,37,0,3,0
356,1,0,1,0,1,9,0,35,0,0,0
357,0,0,1,0,1,35.46,0,36,0,2,0
358,0,0,1,0,1,33.15,0,34,0,3,0
359,1,0,1,0,1,34.86,0,34,0,2,0
362,1,0,1,0,1,16.97,0,36,0,4,1.1452090000000001
363,1,0,1,0,1,16.31,0,34,0,3,1.1452090000000001
365,1,0,1,0,1,20,0,35,0,0,0.9029851999999999
366,1,0,1,0,1,18.82,1,37,0,2,1.589936
367,0,0,1,0,1,12.42,0,36,0,0,3.8745540000000003
368,1,0,1,0,1,17.37,0,36,0,2,0
370,0,0,1,0,1,23.43,0,36,0,1,8.510448
373,1,0,1,0,1,23.79,0,33,0,1,0
375,0,1,0,0,0,NA,0,35,0,0,0
376,0,1,0,0,1,46.58,1,36,0,1,4.417256
377,1,1,0,0,1,11,0,33,0,2,0
378,0,1,0,0,1,19.37,0,33,1,1,16.0931
382,1,0,0,1,1,19.23,1,37,0,1,7.935678
385,0,0,1,0,0,14.8,0,36,0,0,2.0831709999999997
386,0,0,1,0,1,46.32,0,37,0,1,0
387,1,0,1,0,1,12.31,0,34,0,4,0
388,1,0,1,0,0,NA,0,35,0,4,0.4481913
390,1,0,0,1,1,23.84,0,34,1,3,0
392,0,0,1,0,1,24.04,1,37,1,2,26.990419999999997
393,0,0,1,0,1,12.6,1,34,0,0,1.9766759999999999
394,0,0,1,0,1,42.77,1,33,1,0,0
395,0,0,0,1,1,27.28,1,33,0,0,8.044735
398,0,0,1,0,1,53.33,0,37,0,1,4.726596
400,1,0,0,0,1,25,1,35,0,3,1.011797
401,0,0,0,1,0,NA,0,33,0,1,23.76433
402,1,0,0,1,1,22,0,33,0,0,0
403,1,1,0,0,0,NA,0,33,0,4,0
404,0,0,0,1,1,27.78,1,37,0,4,1.704931
406,1,0,0,1,1,19.74,1,34,0,0,1.704931
407,1,0,1,0,0,NA,0,36,0,5,0
409,1,1,0,0,0,NA,0,37,0,0,0
411,1,0,1,0,1,15.4,0,37,0,3,0
414,1,1,0,0,0,NA,0,37,0,0,0
415,1,0,0,1,1,29.07,1,36,0,0,22.36985
418,0,0,0,1,1,57.69,1,34,0,2,18.671020000000002
420,0,0,0,1,1,59.29,1,37,1,1,30.03056
421,0,0,0,1,1,35.09,0,35,1,2,4.2230739999999996
422,0,0,0,0,1,29.83,1,36,1,1,15.217780000000001
423,1,0,0,0,1,20,0,33,0,0,13.668040000000001
424,1,0,1,0,0,NA,1,33,1,0,7.680573000000001
425,1,0,0,1,1,34.88,1,35,1,2,12.812899999999999
426,1,0,1,0,1,10,0,37,0,0,0
427,0,0,1,0,1,20,0,36,0,2,0.8321171
428,1,0,1,0,1,34,0,33,0,4,0
432,0,0,1,0,1,20,0,36,1,2,0.611846
433,1,0,1,0,1,16,0,33,1,0,0.611846
434,0,0,0,1,1,21.71,0,35,1,0,45.045660000000005
436,1,0,1,0,0,NA,0,35,0,4,0
437,1,0,1,0,0,NA,0,36,0,3,0
438,0,0,1,0,1,15.83,0,34,0,1,0
439,1,0,1,0,0,NA,0,33,0,2,0
440,0,0,1,0,1,20.83,0,37,1,0,0
441,0,0,1,0,1,8.75,0,35,1,0,0
443,0,0,1,0,1,19.15,0,37,0,3,0
444,1,0,1,0,1,17.5,0,35,0,2,0
445,0,0,1,0,1,18,1,36,0,0,0
446,0,0,1,0,1,23.54,0,34,0,4,0
447,1,0,1,0,1,11.5,0,34,0,0,0
450,1,0,1,0,0,11.5,0,37,0,2,0
451,0,0,1,0,1,21.37,0,34,0,0,0
452,1,0,1,0,0,NA,0,36,0,0,0
453,1,0,1,0,0,25,0,35,0,2,0
456,0,0,1,0,1,36.06,1,34,0,1,0
457,0,0,1,0,1,11,0,37,0,0,0
458,0,0,1,0,1,38.46,1,35,0,1,0.01819675
460,1,0,1,0,1,12.25,0,36,0,2,0
461,1,0,1,0,1,12,0,34,0,1,0
462,1,0,1,0,1,13,0,36,0,4,0
464,1,0,1,0,1,19.23,0,36,0,1,0
465,1,0,1,0,1,19.95,0,33,0,2,0
466,0,0,1,0,1,48.08,0,34,0,0,0
467,1,0,1,0,1,16.79,0,33,0,2,0
468,1,0,1,0,1,19.64,0,36,0,4,0
469,1,0,1,0,0,NA,0,35,0,4,0
470,1,0,1,0,1,12.5,0,36,1,3,0
471,0,0,1,0,1,33.33,0,37,0,0,0.0012153119999999999
472,1,0,1,0,1,25,1,34,0,0,0.0012153119999999999
473,1,0,1,0,0,NA,0,35,0,3,0
474,1,0,1,0,1,15.75,0,33,0,1,0
475,0,0,1,0,1,14.49,0,36,0,0,0
476,0,1,0,0,1,36,1,35,0,0,0
477,1,0,1,0,1,25,0,35,0,3,2.7315120000000004
479,1,0,1,0,0,NA,0,35,0,2,0
480,1,0,1,0,0,NA,0,37,0,1,0
481,0,0,1,0,1,26.57,0,33,0,1,0
482,0,1,0,0,1,63.95,0,34,0,0,0
483,0,0,1,0,1,44.87,1,37,0,0,5.413564
484,1,0,1,0,1,25,1,35,0,0,5.413564
487,0,0,0,1,1,46.51,1,33,0,1,8.833457000000001
488,1,0,0,1,0,NA,0,35,0,3,2.053594
490,0,0,0,0,1,26.16,1,35,1,1,2.742431
492,1,0,0,1,0,60,1,34,1,2,0
496,0,0,1,0,1,47.92,1,33,0,3,0
498,1,0,0,1,1,52,1,37,1,2,5.579638
502,0,0,0,1,1,18.5,0,34,0,0,0
503,0,0,0,1,1,75,1,36,1,0,6.014074
507,1,0,0,1,1,31.25,0,33,0,1,0
508,0,0,1,0,0,15,0,36,0,0,0
510,0,0,1,0,1,11.25,0,37,0,0,0
511,0,0,1,0,1,31.48,0,37,0,2,0
512,1,0,1,0,0,NA,0,36,0,4,0.8947364
